valve_size,motor_disp,number_of_motors,number_of_valves,error_rms,flow_max,flow_rms,motor_cost,valve_cost,total_cost
1,22.9,6,4,0.126997712809195,711.419096541858,211.674590605988,12.2748,15,27.2748
1,28.1,6,4,0.133901722657043,839.482915664747,346.53133568679,12.3372,15,27.3372
1,32,6,4,0.152334039559072,823.453153765188,325.474003417569,12.384,15,27.384
1,4.93,7,1,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,7,1,NaN,NaN,NaN,NaN,NaN,NaN
1,12,7,1,17.4713304998818,206.290302980338,125.409773748546,14.168,3.75,17.918
1,16,7,1,0.225618108697352,226.77803097124,88.6716296622833,14.224,3.75,17.974
1,22.9,7,1,0.45665520261544,212.26715315878,104.914621885965,14.3206,3.75,18.0706
1,28.1,7,1,0.445828771698757,205.68421570797,108.943814435297,14.3934,3.75,18.1434
1,32,7,1,0.442220576282629,202.049652016795,109.681696659918,14.448,3.75,18.198
1,4.93,7,2,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,7,2,NaN,NaN,NaN,NaN,NaN,NaN
1,12,7,2,15.8540898157289,327.797596024245,167.5996633677,14.168,7.5,21.668
1,16,7,2,0.0587254200053463,409.274609882705,196.638463606146,14.224,7.5,21.724
1,22.9,7,2,0.283585834149661,424.083945488825,191.311843065243,14.3206,7.5,21.8206
1,28.1,7,2,0.269839234762783,410.940279653112,198.548134346319,14.3934,7.5,21.8934
1,32,7,2,0.279750676093127,403.735124880643,202.542637730249,14.448,7.5,21.948
1,4.93,7,3,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,7,3,NaN,NaN,NaN,NaN,NaN,NaN
1,12,7,3,17.1976274686412,377.43921546803,190.616112649101,14.168,11.25,25.418
1,16,7,3,0.04144207889327,518.575480796306,181.263977631458,14.224,11.25,25.474
1,22.9,7,3,0.1900123416845,635.278181364694,254.869637840733,14.3206,11.25,25.5706
1,28.1,7,3,0.210821616657199,616.011581712917,265.32592762331,14.3934,11.25,25.6434
1,32,7,3,0.223535675127279,605.188091545032,299.120961607812,14.448,11.25,25.698
1,4.93,7,4,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,7,4,NaN,NaN,NaN,NaN,NaN,NaN
1,12,7,4,14.7317663440313,431.78638575209,215.563441554222,14.168,15,29.168
1,16,7,4,0.0324677713962735,536.921687658123,178.826451361856,14.224,15,29.224
1,22.9,7,4,0.139452466439205,844.030177995779,247.651935251735,14.3206,15,29.3206
1,28.1,7,4,0.160067710008756,820.645268995608,334.003298690438,14.3934,15,29.3934
1,32,7,4,0.171061710192276,806.470395708215,353.042362177716,14.448,15,29.448
1,4.93,8,1,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,8,1,19.1763783260956,206.636469924998,121.350459020098,16.1648,3.75,19.9148
1,12,8,1,17.1244022068176,208.639923884225,128.41404478165,16.192,3.75,19.942
1,16,8,1,0.42323982045502,220.808789595021,94.4808127839437,16.256,3.75,20.006
1,22.9,8,1,0.414456266461661,207.828251068323,108.143626498192,16.3664,3.75,20.1164
1,28.1,8,1,0.391318624228286,201.934566568482,110.572251503728,16.4496,3.75,20.1996
1,32,8,1,0.348046892895581,198.685350406583,113.059521438676,16.512,3.75,20.262
1,4.93,8,2,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,8,2,16.3644421927223,324.7785746293,160.507846441078,16.1648,7.5,23.6648
1,12,8,2,14.9694840677233,329.420755771811,175.598747033002,16.192,7.5,23.692
1,16,8,2,0.2763971551783,440.935129169175,160.763172778089,16.256,7.5,23.756
1,22.9,8,2,0.260787056048342,415.196692814448,195.117399520622,16.3664,7.5,23.8664
1,28.1,8,2,0.284905359534403,403.518698594134,202.480894400669,16.4496,7.5,23.9496
1,32,8,2,0.293135116398405,397.077031162825,206.595580679455,16.512,7.5,24.012
1,4.93,8,3,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,8,3,16.818223401929,375.196550873357,184.947295223299,16.1648,11.25,27.4148
1,12,8,3,15.1588390968453,387.529584046093,212.081904070597,16.192,11.25,27.442
1,16,8,3,0.191360115101373,617.524555901789,180.899009159934,16.256,11.25,27.506
1,22.9,8,3,0.202592239054724,622.291555717204,261.608733104287,16.3664,11.25,27.6164
1,28.1,8,3,0.223367745760618,604.983419326391,285.774896239444,16.4496,11.25,27.6996
1,32,8,3,0.237968920643072,595.321247277212,294.393153061302,16.512,11.25,27.762
1,4.93,8,4,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,8,4,15.9327848360817,431.539935608817,208.315182805656,16.1648,15,31.1648
1,12,8,4,10.7199862064304,453.35655568468,244.084944472272,16.192,15,31.192
1,16,8,4,0.140676671477049,630.686376699038,198.94300710256,16.256,15,31.256
1,22.9,8,4,0.152289338386705,829.030619715402,336.578885886915,16.3664,15,31.3664
1,28.1,8,4,0.170605573676094,806.096488253779,352.289351849001,16.4496,15,31.4496
1,32,8,4,0.191823674689266,793.42600013677,366.365530768392,16.512,15,31.512
2,4.93,1,1,NaN,NaN,NaN,NaN,NaN,NaN
2,10.3,1,1,NaN,NaN,NaN,NaN,NaN,NaN
2,12,1,1,NaN,NaN,NaN,NaN,NaN,NaN
2,16,1,1,NaN,NaN,NaN,NaN,NaN,NaN
2,22.9,1,1,NaN,NaN,NaN,NaN,NaN,NaN
2,28.1,1,1,NaN,NaN,NaN,NaN,NaN,NaN
2,32,1,1,NaN,NaN,NaN,NaN,NaN,NaN
2,4.93,1,2,NaN,NaN,NaN,NaN,NaN,NaN
2,10.3,1,2,NaN,NaN,NaN,NaN,NaN,NaN
