valve_size,motor_disp,number_of_motors,number_of_valves,error_rms,flow_max,flow_rms,motor_cost,valve_cost,total_cost
0.6,16,7,4,0.108914253544132,636.021045757667,172.845096813901,14.224,15,29.224
0.6,22.9,7,4,0.16204147838257,861.933298520826,259.550715437254,14.3206,15,29.3206
0.6,28.1,7,4,0.188756508507014,1015.90418435887,302.770060217164,14.3934,15,29.3934
0.6,45.6,7,4,0.261077875624245,1424.71559284377,421.104630358223,14.6384,15,29.6384
0.6,4.93,8,1,0.0403885277175186,247.905795082931,60.0317418778283,16.07888,3.75,19.82888
0.6,10.3,8,1,0.163728735885215,474.672794726509,201.988247797456,16.1648,3.75,19.9148
0.6,12,8,1,0.188035055666219,479.529092419922,214.938536334559,16.192,3.75,19.942
0.6,16,8,1,0.198343692977559,526.833010375057,258.226386638845,16.256,3.75,20.006
0.6,22.9,8,1,0.267735051075348,521.170327440662,310.252925535917,16.3664,3.75,20.1164
0.6,28.1,8,1,0.288781618300191,518.706234438244,321.56356333355,16.4496,3.75,20.1996
0.6,45.6,8,1,0.309071459022541,514.471371673672,321.679145830638,16.7296,3.75,20.4796
0.6,4.93,8,2,0.0403885294338268,247.905798312002,60.0317445050886,16.07888,7.5,23.57888
0.6,10.3,8,2,0.114312565073535,622.420976403881,176.415375739089,16.1648,7.5,23.6648
0.6,12,8,2,0.126560208467334,694.769004477241,196.7540510815,16.192,7.5,23.692
0.6,16,8,2,0.126648440493632,713.137298183097,201.964256032831,16.256,7.5,23.756
0.6,22.9,8,2,0.180747628206251,958.420742648125,289.877720987427,16.3664,7.5,23.8664
0.6,28.1,8,2,0.33655072894775,1037.16041917045,534.974259695864,16.4496,7.5,23.9496
0.6,45.6,8,2,0.397130928364774,1028.86693454817,577.014496155026,16.7296,7.5,24.2296
0.6,4.93,8,3,0.0403885300872919,247.905797471631,60.0317471201553,16.07888,11.25,27.32888
0.6,10.3,8,3,0.114367739890157,622.841379615688,176.542327813721,16.1648,11.25,27.4148
0.6,12,8,3,0.126598994430107,694.769151763718,196.816965058536,16.192,11.25,27.442
0.6,16,8,3,0.126648716089977,713.137307798719,201.964707433233,16.256,11.25,27.506
0.6,22.9,8,3,0.180776542728305,958.412012259651,289.92331057591,16.3664,11.25,27.6164
0.6,28.1,8,3,0.214373130597549,1122.56816744438,346.151840057653,16.4496,11.25,27.6996
0.6,45.6,8,3,0.336038227444607,1532.81481817304,540.98311672323,16.7296,11.25,27.9796
0.6,4.93,8,4,0.0403885278749293,247.905799515942,60.0317437847203,16.07888,15,31.07888
0.6,10.3,8,4,0.114342978350519,622.837851499189,176.500960639057,16.1648,15,31.1648
0.6,12,8,4,0.126599519335685,694.769156541256,196.817904993609,16.192,15,31.192
0.6,16,8,4,0.126648419078667,713.137293870397,201.964222779498,16.256,15,31.256
0.6,22.9,8,4,0.180782888187415,958.404129501463,289.931787142795,16.3664,15,31.3664
0.6,28.1,8,4,0.214373118513143,1122.56815322536,346.151819195422,16.4496,15,31.4496
0.6,45.6,8,4,0.283577572853667,1539.7232488269,457.720010643235,16.7296,15,31.7296
0.9,4.93,1,1,NaN,NaN,NaN,NaN,NaN,NaN
0.9,10.3,1,1,NaN,NaN,NaN,NaN,NaN,NaN
